a,b,c,d,e,used_symbol,ltp,pe,market_cap,status
BLS E-Services Ltd,BLSE,BLSE,IT Enabled Services,https://halalstock.in/is-bls-e-services-ltd-halal-and-shariah-compliant/,BLSE.NS,222.16,35.717045,20184678400,ok
BLS INTERNATIONAL SERVICES LTD,BLS,BLS,Computers - Software - Medium / Small,https://halalstock.in/is-bls-international-services-ltd-halal-and-shariah-compliant/,BLS.NS,329.75,22.570158,135755128832,ok
BLUE CHIP TEX INDUSTRIES LTD.,BLUECHIPT,,Textiles - Processing,https://halalstock.in/is-blue-chip-tex-industries-ltd-halal-and-shariah-compliant/,BLUECHIPT.BO,133.25,,262569120,ok
BLUE DART EXPRESS LTD.,BLUEDART,BLUEDART,Couriers,https://halalstock.in/is-blue-dart-express-ltd-halal-and-shariah-compliant/,BLUEDART.NS,5719.0,51.021503,135700054016,ok
Blue Jet Healthcare Ltd,BLUEJET,BLUEJET,Pharmaceuticals,https://halalstock.in/is-blue-jet-healthcare-ltd-halal-and-shariah-compliant/,BLUEJET.NS,578.45,28.495075,100372922368,ok
Blue Pearl Agriventures Ltd,BPAGRI,,Commodity Chemicals,https://halalstock.in/is-blue-pearl-agriventures-ltd-halal-and-shariah-compliant/,BPAGRI.BO,85.32,,51410419712,ok
BLUE STAR LTD.,BLUESTARCO,BLUESTARCO,Air-conditioners,https://halalstock.in/is-blue-star-ltd-halal-and-shariah-compliant/,BLUESTARCO.NS,1765.4,66.219055,362948231168,ok
Bluspring Enterprises Limited,BLUSPRING,BLUSPRING,Diversified Commercial Services,https://halalstock.in/is-bluspring-enterprises-limited-halal-and-shariah-compliant/,BLUSPRING.NS,72.24,,10764352512,ok
BMW INDUSTRIES LTD,BMW,,Steel - Medium / Small,https://halalstock.in/is-bmw-industries-ltd-halal-and-shariah-compliant/,BMW.BO,39.85,13.788926,8969695232,ok
BNR UDYOG LTD.,BNRUDY,,Computers - Software - Medium / Small,https://halalstock.in/is-bnr-udyog-ltd-halal-and-shariah-compliant/,BNRUDY.BO,40.06,,120180008,ok
BODHTREE CONSULTING LTD,BODHTREE,,Computers - Software - Medium / Small,https://halalstock.in/is-bodhtree-consulting-ltd-halal-and-shariah-compliant/,BODHTREE.BO,25.6,32.405064,559758592,ok
BOMBAY BURMAH TRADING CORP.LTD.,BBTC,BBTC,Diversified - Large,https://halalstock.in/is-bombay-burmah-trading-corp-ltd-halal-and-shariah-compliant/,BBTC.NS,1834.9,11.325145,128415490048,ok
BOMBAY DYEING &amp; MFG.CO.LTD.,BOMDYEING,BOMDYEING,Textiles - Processing,https://halalstock.in/is-bombay-dyeing-mfg-co-ltd-halal-and-shariah-compliant/,BOMDYEING.NS,143.97,30.56688,29734830080,ok
BOMBAY WIRE ROPES LTD.,BOMBWIR,,Steel - Medium / Small,https://halalstock.in/is-bombay-wire-ropes-ltd-halal-and-shariah-compliant/,BOMBWIR.BO,51.9,,277120064,ok
Bondada Engineering Ltd,BONDADA,,Telecom - Infrastructure,https://halalstock.in/is-bondada-engineering-ltd-halal-and-shariah-compliant/,BONDADA.BO,375.25,25.0,41875456000,ok
BONLON INDUSTRIES LTD,BONLON,,Steel - Medium / Small,https://halalstock.in/is-bonlon-industries-ltd-halal-and-shariah-compliant/,BONLON.BO,41.92,22.063158,594566336,ok
BOROSIL LTD,BOROLTD,BOROLTD,Glass &amp; Glass Products,https://halalstock.in/is-borosil-ltd-halal-and-shariah-compliant/,BOROLTD.NS,322.95,44.422287,38618554368,ok
BOROSIL RENEWABLES LTD,BORORENEW,BORORENEW,Glass &amp; Glass Products,https://halalstock.in/is-borosil-renewables-ltd-halal-and-shariah-compliant/,BORORENEW.NS,581.6,,81539891200,ok
Borosil Scientific Limited,BOROSCI,BOROSCI,Glass - Industrial,https://halalstock.in/is-borosil-scientific-limited-halal-and-shariah-compliant/,BOROSCI.NS,127.85,96.85606,11394195456,ok
BOSCH LTD.,BOSCHLTD,BOSCHLTD,Auto Ancillaries,https://halalstock.in/is-bosch-ltd-halal-and-shariah-compliant/,BOSCHLTD.NS,36110.0,39.68263,1066009296896,ok
BPL LTD.,BPL,BPL,Electronics - Consumer,https://halalstock.in/is-bpl-ltd-halal-and-shariah-compliant/,BPL.NS,62.01,,3036986368,ok
BRADY &amp; MORRIS ENGINEERING CO.LTD.,BRADYM,,Engineering,https://halalstock.in/is-brady-morris-engineering-co-ltd-halal-and-shariah-compliant/,BRADYM.BO,931.95,9.90067,2096887552,ok
Brainbees Solutions Limited,FIRSTCRY,FIRSTCRY,E-Retail/ E-Commerce,https://halalstock.in/is-brainbees-solutions-limited-halal-and-shariah-compliant/,FIRSTCRY.NS,302.5,,146380750848,ok
Brandbucket Media &amp; Technology Ltd,BRANDBUCKT,,Advertising &amp; Media Agencies,https://halalstock.in/is-brandbucket-media-technology-ltd-halal-and-shariah-compliant/,BRANDBUCKT.BO,4.9,17.5,113881880,ok
BRIGADE ENTERPRISES LTD.,BRIGADE,BRIGADE,Construction,https://halalstock.in/is-brigade-enterprises-ltd-halal-and-shariah-compliant/,BRIGADE.NS,895.1,27.099607,218969456640,ok
Brigade Hotel Ventures Limited,BRIGHOTEL,BRIGHOTEL,Hotels &amp; Resorts,https://halalstock.in/is-brigade-hotel-ventures-limited-halal-and-shariah-compliant/,BRIGHOTEL.NS,78.24,85.04347,29718880256,ok
BRIGHTCOM GROUP LTD,BCG,BCG,Computers - Software - Medium / Small,https://halalstock.in/is-brightcom-group-ltd-halal-and-shariah-compliant/,BCG.NS,12.93,3.224439,26099488768,ok
BRITANNIA INDUSTRIES LTD.,BRITANNIA,BRITANNIA,Food - Processing - MNC,https://halalstock.in/is-britannia-industries-ltd-halal-and-shariah-compliant/,BRITANNIA.NS,5846.0,60.605434,1408503906304,ok
Broach Lifecare Hospital Ltd,BROACH,,Hospital,https://halalstock.in/is-broach-lifecare-hospital-ltd-halal-and-shariah-compliant/,BROACH.BO,15.1,19.61039,91662744,ok
BROOKS LABORATORIES LTD.,BROOKS,BROOKS,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-brooks-laboratories-ltd-halal-and-shariah-compliant/,BROOKS.NS,102.2,21.884367,3028470528,ok
BUTTERFLY GANDHIMATHI APPLIANCES LTD,BUTTERFLY,BUTTERFLY,Domestic Appliances,https://halalstock.in/is-butterfly-gandhimathi-appliances-ltd-halal-and-shariah-compliant/,BUTTERFLY.NS,705.95,30.96272,12622069760,ok
C.E. Info Systems Ltd - Map My India,MAPMYINDIA,MAPMYINDIA,IT Software Products,https://halalstock.in/is-c-e-info-systems-ltd-map-my-india-halal-and-shariah-compliant/,MAPMYINDIA.NS,1675.7,63.281723,91763810304,ok
CALCOM VISION LTD.,CALCOM,,Electronics - Consumer,https://halalstock.in/is-calcom-vision-ltd-halal-and-shariah-compliant/,CALCOM.BO,114.3,53.16279,1598525440,ok
CALIFORNIA SOFTWARE CO.LTD.,CALSOFT,CALSOFT,Computers - Software - Medium / Small,https://halalstock.in/is-california-software-co-ltd-halal-and-shariah-compliant/,CALSOFT.NS,16.53,165.3,1022023872,ok
CAMEX LTD.,CAMEXLTD,,Dyes And Pigments,https://halalstock.in/is-camex-ltd-halal-and-shariah-compliant/,CAMEXLTD.BO,33.39,75.88636,340868480,ok
CAMLIN FINE SCIENCES LTD.,CAMLINFINE,CAMLINFINE,Chemicals,https://halalstock.in/is-camlin-fine-sciences-ltd-halal-and-shariah-compliant/,CAMLINFINE.NS,164.92,21.28,31001733120,ok
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,CAMPUS,Footwear,https://halalstock.in/is-campus-activewear-limited-halal-and-shariah-compliant/,CAMPUS.NS,275.9,67.955666,84295819264,ok
Candour Techtex Ltd,CANDOUR,,Plastic Products - Industrial,https://halalstock.in/is-candour-techtex-ltd-halal-and-shariah-compliant/,CANDOUR.BO,150.5,,2822889472,ok
CANTABIL RETAIL INDIA LTD.,CANTABIL,CANTABIL,Textiles - Products,https://halalstock.in/is-cantabil-retail-india-ltd-halal-and-shariah-compliant/,CANTABIL.NS,249.0,26.602566,20825872384,ok
CAPACITE INFRAPROJECTS LTD,CAPACITE,CAPACITE,Construction,https://halalstock.in/is-capacite-infraprojects-ltd-halal-and-shariah-compliant/,CAPACITE.NS,277.35,11.707472,23505514496,ok
CapitalNumbers Infotech Ltd,CNINFOTECH,,Computers - Software &amp; Consulting,https://halalstock.in/is-capitalnumbers-infotech-ltd-halal-and-shariah-compliant/,CNINFOTECH.BO,108.0,9.800363,2638114816,ok
CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,CAPRICORN,,Diversified Commercial Services,https://halalstock.in/is-capricorn-systems-global-solutions-ltd-halal-and-shariah-compliant/,CAPRICORN.BO,20.69,,82677240,ok
CAPTAIN PIPES LTD,CAPPIPES,,Plastics Products,https://halalstock.in/is-captain-pipes-ltd-halal-and-shariah-compliant/,CAPPIPES.BO,12.27,20.114754,1885221760,ok
CAPTAIN POLYPLAST LTD,CPL,,Plastics Products,https://halalstock.in/is-captain-polyplast-ltd-halal-and-shariah-compliant/,CPL.BO,74.9,22.9052,4488666624,ok
CAPTAIN TECHNOCAST LTD,CTCL,,Castings &amp; Forgings,https://halalstock.in/is-captain-technocast-ltd-halal-and-shariah-compliant/,CTCL.BO,195.35,38.303925,4536046592,ok
CARBORUNDUM UNIVERSAL LTD.,CARBORUNIV,CARBORUNIV,Abrasives And Grinding Wheels,https://halalstock.in/is-carborundum-universal-ltd-halal-and-shariah-compliant/,CARBORUNIV.NS,856.85,79.33796,163179364352,ok
Carraro India Limited,CARRARO,CARRARO,Auto Components &amp; Equipments,https://halalstock.in/is-carraro-india-limited-halal-and-shariah-compliant/,CARRARO.NS,555.15,31.85026,31561134080,ok
CARTRADE TECH LTD,CARTRADE,CARTRADE,Trading,https://halalstock.in/is-cartrade-tech-ltd-halal-and-shariah-compliant/,CARTRADE.NS,3087.7,83.33873,147572785152,ok
Carysil,CARYSIL,CARYSIL,Ceramics - Tiles / Sanitaryware,https://halalstock.in/is-carysil-halal-and-shariah-compliant/,CARYSIL.NS,1012.85,35.588547,28808095744,ok
CASTROL INDIA LTD.,CASTROLIND,CASTROLIND,Chemicals,https://halalstock.in/is-castrol-india-ltd-halal-and-shariah-compliant/,CASTROLIND.NS,192.25,19.497972,190158782464,ok
CATVISION LIMITED,CATVISION,,Trading,https://halalstock.in/is-catvision-limited-halal-and-shariah-compliant/,CATVISION.BO,21.98,,119870128,ok
CCL PRODUCTS (INDIA) LTD.,CCL,CCL,Tea,https://halalstock.in/is-ccl-products-india-ltd-halal-and-shariah-compliant/,CCL.NS,1008.6,39.83412,134472409088,ok
CEAT LTD.,CEATLTD,CEATLTD,Tyres,https://halalstock.in/is-ceat-ltd-halal-and-shariah-compliant/,CEATLTD.NS,3847.0,31.447723,155380678656,ok
Ceigall India Limited,CEIGALL,CEIGALL,Civil Construction,https://halalstock.in/is-ceigall-india-limited-halal-and-shariah-compliant/,CEIGALL.NS,242.15,16.339407,42193371136,ok
CEINSYS TECH LTD,CEINSYSTECH,,Computers - Software - Medium / Small,https://halalstock.in/is-ceinsys-tech-ltd-halal-and-shariah-compliant/,CEINSYSTECH.BO,973.3,21.691553,17364787200,ok
Cello World Ltd,CELLO,CELLO,Houseware,https://halalstock.in/is-cello-world-ltd-halal-and-shariah-compliant/,CELLO.NS,596.0,39.522545,131647479808,ok
CENLUB INDUSTRIES LTD.,CENLUB,,Engineering,https://halalstock.in/is-cenlub-industries-ltd-halal-and-shariah-compliant/,CENLUB.BO,246.4,14.242775,1148938240,ok
CENTUM ELECTRONICS LTD.,CENTUM,CENTUM,Electronics - Components,https://halalstock.in/is-centum-electronics-ltd-halal-and-shariah-compliant/,CENTUM.NS,2364.2,204.16235,34867089408,ok
CENTURY ENKA LTD.,CENTENKA,CENTENKA,Textiles - Manmade,https://halalstock.in/is-century-enka-ltd-halal-and-shariah-compliant/,CENTENKA.NS,470.15,17.5757,10273054720,ok
CENTURY PLYBOARDS (I) LTD.,CENTURYPLY,CENTURYPLY,Miscellaneous,https://halalstock.in/is-century-plyboards-i-ltd-halal-and-shariah-compliant/,CENTURYPLY.NS,800.8,76.92603,178091180032,ok
CERA SANITARYWARE LTD.,CERA,CERA,Ceramics - Tiles / Sanitaryware,https://halalstock.in/is-cera-sanitaryware-ltd-halal-and-shariah-compliant/,CERA.NS,5537.0,30.488409,71399825408,ok
CFF Fluid Control Ltd,CFF,,Aerospace &amp; Defense,https://halalstock.in/is-cff-fluid-control-ltd-halal-and-shariah-compliant/,CFF.BO,615.95,42.36245,12918996992,ok
CG POWER AND INDUSTRIAL SOLUTIONS LTD,CGPOWER,CGPOWER,Electric Equipment,https://halalstock.in/is-cg-power-and-industrial-solutions-ltd-halal-and-shariah-compliant/,CGPOWER.NS,672.9,97.09957,1061814075392,ok
CG-VAK SOFTWARE &amp; EXPORTS LTD.,CGVAK,,Computers - Software - Medium / Small,https://halalstock.in/is-cg-vak-software-exports-ltd-halal-and-shariah-compliant/,CGVAK.BO,238.4,10.5720625,1203967616,ok
CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,CHAMBLFERT,CHAMBLFERT,Fertilizers,https://halalstock.in/is-chambal-fertilisers-chemicals-ltd-halal-and-shariah-compliant/,CHAMBLFERT.NS,440.15,9.469665,176426795008,ok
CHANDRA BHAGAT PHARMA LTD,CBPL,,Trading,https://halalstock.in/is-chandra-bhagat-pharma-ltd-halal-and-shariah-compliant/,CBPL.BO,38.7,46.626507,291993664,ok
CHARTERED LOGISTICS LTD.,CHLOGIST,,Miscellaneous,https://halalstock.in/is-chartered-logistics-ltd-halal-and-shariah-compliant/,CHLOGIST.BO,7.76,55.428574,986606400,ok
Chatha Foods Ltd,CHATHA,,Packaged Foods,https://halalstock.in/is-chatha-foods-ltd-halal-and-shariah-compliant/,CHATHA.BO,85.6,33.4375,2061408896,ok
CHEMBOND CHEMICALS LTD.,CHEMBOND,CHEMBOND,Chemicals,https://halalstock.in/is-chembond-chemicals-ltd-halal-and-shariah-compliant/,CHEMBOND.NS,160.86,15.019608,2163291648,ok
CHEMCON SPECIALITY CHEMICALS LTD,CHEMCON,CHEMCON,Chemicals,https://halalstock.in/is-chemcon-speciality-chemicals-ltd-halal-and-shariah-compliant/,CHEMCON.NS,220.42,32.367107,8077360640,ok
CHEMCRUX ENTERPRISES LTD,CHEMCRUX,,Chemicals,https://halalstock.in/is-chemcrux-enterprises-ltd-halal-and-shariah-compliant/,CHEMCRUX.BO,112.45,90.68548,1665254016,ok
Chemkart India Ltd,CHEMKART,,Other Food Products,https://halalstock.in/is-chemkart-india-ltd-halal-and-shariah-compliant/,CHEMKART.BO,199.8,12.873712,2417380352,ok
CHEMO PHARMA LABORATORIES LTD.,CHEMOPH,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-chemo-pharma-laboratories-ltd-halal-and-shariah-compliant/,CHEMOPH.BO,130.85,,196275008,ok
CHEMPLAST SANMAR LTD,CHEMPLASTS,CHEMPLASTS,Chemicals,https://halalstock.in/is-chemplast-sanmar-ltd-halal-and-shariah-compliant/,CHEMPLASTS.NS,284.2,,44934742016,ok
CHEMTECH INDUSTRIAL VALVES LTD,CHEMTECH,,Trading,https://halalstock.in/is-chemtech-industrial-valves-ltd-halal-and-shariah-compliant/,CHEMTECH.BO,94.55,22.61962,1695974784,ok
CHENNAI FERROUS INDUSTRIES LTD,CHENFERRO,,Steel - Sponge Iron,https://halalstock.in/is-chennai-ferrous-industries-ltd-halal-and-shariah-compliant/,CHENFERRO.BO,108.8,11.251293,392170592,ok
CHEVIOT CO.LTD.,CHEVIOT,CHEVIOT,Textiles - Jute - Yarn / Products,https://halalstock.in/is-cheviot-co-ltd-halal-and-shariah-compliant/,CHEVIOT.NS,1076.9,11.197879,6291115520,ok
Chiraharit Ltd.,CHIRAHARIT,,Civil Construction,http://halalstock.in/is-chiraharit-ltd-halal-and-shariah-compliant/,CHIRAHARIT.BO,11.17,10.154545,612071296,ok
CHORDIA FOOD PRODUCTS LTD.,CHORDIA,,Food - Processing - Indian,https://halalstock.in/is-chordia-food-products-ltd-halal-and-shariah-compliant/,CHORDIA.BO,75.48,52.055172,304052480,ok
CHOTHANI FOODS LTD,CHOTHANI,,Food - Processing - Indian,https://halalstock.in/is-chothani-foods-ltd-halal-and-shariah-compliant/,CHOTHANI.BO,27.73,145.94737,287282784,ok
CIGNITI TECHNOLOGIES LTD.,CIGNITI,CIGNITITEC,Computers - Software - Medium / Small,https://halalstock.in/is-cigniti-technologies-ltd-halal-and-shariah-compliant/,CIGNITI.NS,8287693800.0,168486736.0,,ok
CIPLA LTD.,CIPLA,CIPLA,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-cipla-ltd-halal-and-shariah-compliant/,CIPLA.NS,1531.3,22.72633,1236940095488,ok
Citichem India Ltd,CITICHEM,,Trading - Chemicals,https://halalstock.in/is-citichem-india-ltd-halal-and-shariah-compliant/,CITICHEM.BO,25.12,9.551331,170816000,ok
City Crops Agro Ltd,CCAL,,Other Agricultural Products,https://halalstock.in/is-city-crops-agro-ltd-halal-and-shariah-compliant/,CCAL.BO,17.96,,293048992,ok
CITY ONLINE SERVICES LTD,CITYONLINE,,Miscellaneous,https://halalstock.in/is-city-online-services-ltd-halal-and-shariah-compliant/,CITYONLINE.BO,8.31,,42918660,ok
Classic Filaments Ltd,CFL,,Other Textile Products,https://halalstock.in/is-classic-filaments-ltd-halal-and-shariah-compliant/,CFL.BO,51.0,,311780896,ok
CLEAN SCIENCE AND TECHNOLOGY LTD,CLEAN,CLEAN,Chemicals,https://halalstock.in/is-clean-science-and-technology-ltd-halal-and-shariah-compliant/,CLEAN.NS,913.5,36.627907,97102225408,ok
Clinitech Laboratory Ltd,CTLLAB,,Healthcare Service Provider,https://halalstock.in/is-clinitech-laboratory-ltd-halal-and-shariah-compliant/,CTLLAB.BO,41.9,13.737705,95632560,ok
CLN Energy Ltd,CLN,,Auto Components &amp; Equipments,https://halalstock.in/is-cln-energy-ltd-halal-and-shariah-compliant/,CLN.BO,507.75,31.853828,5358413312,ok
CMS Info Systems Ltd,CMSINFO,CMSINFO,Sp.Consumer Services,https://halalstock.in/is-cms-info-systems-ltd-halal-and-shariah-compliant/,CMSINFO.NS,354.95,16.470999,58684940288,ok
COAL INDIA LTD.,COALINDIA,COALINDIA,Mining / Minerals / Metals,https://halalstock.in/is-coal-india-ltd-halal-and-shariah-compliant/,COALINDIA.NS,376.15,7.4293895,2318110294016,ok
COASTAL ROADWAYS LTD.,COARO,,Surface Transportation,https://halalstock.in/is-coastal-roadways-ltd-halal-and-shariah-compliant/,COARO.BO,34.09,14.086777,141356400,ok
COCHIN MALABAR ESTATES &amp; INDUSTRIES LTD.,COCHMAL,,Miscellaneous,https://halalstock.in/is-cochin-malabar-estates-industries-ltd-halal-and-shariah-compliant/,COCHMAL.BO,140.7,17.923567,249307456,ok
COCHIN MINERALS &amp; RUTILE LTD.,COCHINM,,Chemicals,https://halalstock.in/is-cochin-minerals-rutile-ltd-halal-and-shariah-compliant/,COCHINM.BO,265.05,12.373949,2075341440,ok
COCHIN SHIPYARD LTD,COCHINSHIP,COCHINSHIP,Miscellaneous,https://halalstock.in/is-cochin-shipyard-ltd-halal-and-shariah-compliant/,COCHINSHIP.NS,1666.1,57.810547,438318891008,ok
COFORGE LTD,COFORGE,COFORGE,Computers - Software - Medium / Small,https://halalstock.in/is-coforge-ltd-halal-and-shariah-compliant/,COFORGE.NS,1908.7,58.81972,639217106944,ok
COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL,COLPAL,Personal Care - Multinational,https://halalstock.in/is-colgate-palmolive-india-ltd-halal-and-shariah-compliant/,COLPAL.NS,2168.6,44.447636,590146502656,ok
COLINZ LABORATORIES LTD.,COLINZ,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-colinz-laboratories-ltd-halal-and-shariah-compliant/,COLINZ.BO,40.89,22.222826,103006000,ok
COMMERCIAL SYN BAGS LTD,COMSYN,COMSYN,Packaging,https://halalstock.in/is-commercial-syn-bags-ltd-halal-and-shariah-compliant/,COMSYN.NS,143.9,23.023998,5749121536,ok
COMPUCOM SOFTWARE LTD.,COMPUSOFT,COMPUSOFT,Computers - Education,https://halalstock.in/is-compucom-software-ltd-halal-and-shariah-compliant/,COMPUSOFT.NS,17.14,41.80488,1357696768,ok
COMPUTER AGE MANAGEMENT SERVICES LTD,CAMS,CAMS,Miscellaneous,https://halalstock.in/is-computer-age-management-services-ltd-halal-and-shariah-compliant/,CAMS.NS,3870.3,41.49566,191769395200,ok
Comrade Appliances Ltd,COMRADE,,Consumer Electronics,https://halalstock.in/is-comrade-appliances-ltd-halal-and-shariah-compliant/,COMRADE.BO,70.56,,545343744,ok
CONART ENGINEERS LTD.,CONART,,Construction,https://halalstock.in/is-conart-engineers-ltd-halal-and-shariah-compliant/,CONART.BO,111.41,11.4032755,699654848,ok
Concord Biotech Ltd,CONCORDBIO,CONCORDBIO,Pharmaceuticals,https://halalstock.in/is-concord-biotech-ltd-halal-and-shariah-compliant/,CONCORDBIO.NS,1417.6,45.87702,148335427584,ok
Concord Control Systems Ltd,CNCRD,,Industrial Electronics,https://halalstock.in/is-concord-control-systems-ltd-halal-and-shariah-compliant/,CNCRD.BO,2539.85,84.74642,25703905280,ok
Concord Enviro Systems Ltd,CEWATER,CEWATER,Waste Management,https://halalstock.in/is-concord-enviro-systems-ltd-halal-and-shariah-compliant/,CEWATER.NS,412.2,16.311832,8530988032,ok
CONSTRONICS INFRA LTD,CONSTRONIC,,Healthcare,https://halalstock.in/is-constronics-infra-ltd-halal-and-shariah-compliant/,CONSTRONIC.BO,64.0,21.47651,801858688,ok
Containe Technologies Ltd,CONTAINE,,Industrial Electronics,https://halalstock.in/is-containe-technologies-ltd-halal-and-shariah-compliant/,CONTAINE.BO,31.99,30.759617,199745552,ok
CONTAINER CORPORATION OF INDIA LTD.,CONCOR,CONCOR,Miscellaneous,https://halalstock.in/is-container-corporation-of-india-ltd-halal-and-shariah-compliant/,CONCOR.NS,511.25,29.75844,389489131520,ok
CONTIL INDIA LTD.,CONTILI,,Trading,https://halalstock.in/is-contil-india-ltd-halal-and-shariah-compliant/,CONTILI.BO,27.41,,424087520,ok
CONTINENTAL CONTROLS LTD.,CONTICON,,Electric Equipment,https://halalstock.in/is-continental-controls-ltd-halal-and-shariah-compliant/,CONTICON.BO,11.0,550.0,67608816,ok
CONTROL PRINT LTD.,CONTROLPR,CONTROLPR,Packaging,https://halalstock.in/is-control-print-ltd-halal-and-shariah-compliant/,CONTROLPR.NS,757.3,11.862469,12124823552,ok
CORAL LABORATORIES LTD.,CORALAB,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-coral-laboratories-ltd-halal-and-shariah-compliant/,CORALAB.BO,490.2,10.090572,1751288576,ok
COROMANDEL ENGINEERING COMPANY LTD.,COROENGG,,Construction,https://halalstock.in/is-coromandel-engineering-company-ltd-halal-and-shariah-compliant/,COROENGG.BO,59.55,58.382355,2077308800,ok
COROMANDEL INTERNATIONAL LTD.,COROMANDEL,COROMANDEL,Fertilizers,https://halalstock.in/is-coromandel-international-ltd-halal-and-shariah-compliant/,COROMANDEL.NS,2382.1,29.238985,707069804544,ok
Cosmic CRF Ltd,COSMICCRF,,Iron &amp; Steel Products,https://halalstock.in/is-cosmic-crf-ltd-halal-and-shariah-compliant/,COSMICCRF.BO,1255.8,27.473202,11537842176,ok
COSMO FERRITES LTD.,COSMOFE,,Electronics - Components,https://halalstock.in/is-cosmo-ferrites-ltd-halal-and-shariah-compliant/,COSMOFE.BO,184.55,,2220136448,ok
COSPOWER ENGINEERING LTD,COSPOWER,,Electric Equipment,https://halalstock.in/is-cospower-engineering-ltd-halal-and-shariah-compliant/,COSPOWER.BO,950.0,43.103447,1590775040,ok
COSYN LTD,COSYN,,Computers - Software - Medium / Small,https://halalstock.in/is-cosyn-ltd-halal-and-shariah-compliant/,COSYN.BO,23.66,102.86956,177450000,ok
COUNTRY CLUB HOSPITALITY &amp; HOLIDAYS LTD,CCHHL,CCHHL,Hotels,https://halalstock.in/is-country-club-hospitality-holidays-ltd-halal-and-shariah-compliant/,CCHHL.NS,15.89,31.156864,2597454592,ok
COUNTRY CONDO'S LTD.,COUNCODOS,COUNCODOS,Construction,https://halalstock.in/is-country-condos-ltd-halal-and-shariah-compliant/,COUNCODOS.NS,6.16,77.0,480168800,ok
CRAFTSMAN AUTOMATION LTD,CRAFTSMAN,CRAFTSMAN,Auto Ancillaries,https://halalstock.in/is-craftsman-automation-ltd-halal-and-shariah-compliant/,CRAFTSMAN.NS,7024.5,69.93031,167573553152,ok
CRANE INFRASTRUCTURE LTD,CRANEINFRA,,Construction,https://halalstock.in/is-crane-infrastructure-ltd-halal-and-shariah-compliant/,CRANEINFRA.BO,17.32,27.492064,125431440,ok
CRAVATEX LTD.,CRAVATEX,,Trading,https://halalstock.in/is-cravatex-ltd-halal-and-shariah-compliant/,CRAVATEX.BO,397.5,18.548763,1027203584,ok
CREATIVE CASTINGS LTD,CREATIVE,,Castings &amp; Forgings,https://halalstock.in/is-creative-castings-ltd-halal-and-shariah-compliant/,CREATIVE.NS,687.25,19.419329,10320209920,ok
Credo Brands Marketing Ltd,MUFTI,MUFTI,Speciality Retail,https://halalstock.in/is-credo-brands-marketing-ltd-halal-and-shariah-compliant/,MUFTI.NS,100.11,11.4280815,6544201216,ok
CRISIL LTD.,CRISIL,CRISIL,Miscellaneous,https://halalstock.in/is-crisil-ltd-halal-and-shariah-compliant/,CRISIL.NS,4423.7,43.103386,323651108864,ok
Crizac Ltd,CRIZAC,CRIZAC,Internet &amp; Catalogue Retail,https://halalstock.in/is-crizac-ltd-halal-and-shariah-compliant/,CRIZAC.NS,287.6,27.183365,50324967424,ok
CROISSANCE LTD,CROISSANCE,,Construction,https://halalstock.in/is-croissance-ltd-halal-and-shariah-compliant/,CROISSANCE.BO,3.93,131.0,269393632,ok
CROMPTON GREAVES CONSUMER ELECTRICALS LTD,CROMPTON,CROMPTON,Electric Equipment,https://halalstock.in/is-crompton-greaves-consumer-electricals-ltd-halal-and-shariah-compliant/,CROMPTON.NS,265.35,36.102043,170862821376,ok
Cropster Agro Ltd,CROPSTER,,Packaging,https://halalstock.in/is-cropster-agro-ltd-halal-and-shariah-compliant/,CROPSTER.BO,19.16,6.063291,16094399488,ok
Cryogenic OGS Ltd,CRYOGENIC,,Industrial Products,https://halalstock.in/is-cryogenic-ogs-ltd-halal-and-shariah-compliant/,CRYOGENIC.BO,177.6,28.831171,2536128000,ok
CUMMINS INDIA LTD.,CUMMINSIND,CUMMINSIND,Engines,https://halalstock.in/is-cummins-india-ltd-halal-and-shariah-compliant/,CUMMINSIND.NS,4479.3,53.766655,1241741000704,ok
CYBER MEDIA (INDIA) LTD.,CYBERMEDIA,CYBERMEDIA,Entertainment / Electronic Media Software,https://halalstock.in/is-cyber-media-india-ltd-halal-and-shariah-compliant/,CYBERMEDIA.NS,16.38,,341190784,ok
Cyient DLM Ltd,CYIENTDLM,CYIENTDLM,Industrial Products,https://halalstock.in/is-cyient-dlm-ltd-halal-and-shariah-compliant/,CYIENTDLM.NS,429.15,41.665047,34059231232,ok
CYIENT LIMITED,CYIENT,CYIENT,Computers - Software - Medium / Small,https://halalstock.in/is-cyient-limited-halal-and-shariah-compliant/,CYIENT.NS,1123.6,21.73728,124022489088,ok
DABUR INDIA LTD.,DABUR,DABUR,Personal Care - Indian,https://halalstock.in/is-dabur-india-ltd-halal-and-shariah-compliant/,DABUR.NS,517.4,50.775276,917707292672,ok
